"filename", "language", "MS SQL", "JSON", "JavaScript", "XML", "Markdown", "JSON with Comments", "CSS", "comment", "blank", "total"
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\lib\email\nodemailer.js", "JavaScript", 0, 0, 171, 0, 0, 0, 0, 36, 27, 234
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\lib\email\process-results.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 3, 7, 31
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\lib\email\scheduler.js", "JavaScript", 0, 0, 509, 0, 0, 0, 0, 79, 110, 698
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\lib\email\send.js", "JavaScript", 0, 0, 70, 0, 0, 0, 0, 31, 95, 196
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\lib\email\signature.js", "JavaScript", 0, 0, 103, 0, 0, 0, 0, 46, 22, 171
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\lib\email\templates.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 3, 1, 16
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\lib\leads\budget-tier.js", "JavaScript", 0, 0, 77, 0, 0, 0, 0, 18, 19, 114
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\lib\leads\categories.js", "JavaScript", 0, 0, 35, 0, 0, 0, 0, 13, 6, 54
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\lib\leads\parse-emails.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 4, 2, 13
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\lib\leads\parse.js", "JavaScript", 0, 0, 128, 0, 0, 0, 0, 28, 32, 188
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\lib\leads\send-progress.js", "JavaScript", 0, 0, 36, 0, 0, 0, 0, 16, 5, 57
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\lib\notify.js", "JavaScript", 0, 0, 123, 0, 0, 0, 0, 23, 12, 158
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\lib\query.js", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 4, 2, 32
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\lib\settings\config.js", "JavaScript", 0, 0, 58, 0, 0, 0, 0, 6, 4, 68
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\lib\supabase\admin.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 4, 4, 22
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\lib\supabase\client.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 4, 4, 22
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\lib\supabase\server.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 9, 7, 48
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\lib\templates\index.js", "JavaScript", 0, 0, 52, 0, 0, 0, 0, 17, 14, 83
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\lib\templates\starters.js", "JavaScript", 0, 0, 49, 0, 0, 0, 0, 11, 18, 78
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\lib\theme.js", "JavaScript", 0, 0, 161, 0, 0, 0, 0, 15, 15, 191
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\lib\utils\cn.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 4, 1, 8
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\lib\workspaces\index.js", "JavaScript", 0, 0, 136, 0, 0, 0, 0, 37, 26, 199
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\lib\workspaces\invitations.js", "JavaScript", 0, 0, 73, 0, 0, 0, 0, 12, 17, 102
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\next.config.mjs", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 2, 2, 7
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\package-lock.json", "JSON", 0, 2590, 0, 0, 0, 0, 0, 0, 1, 2591
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\package.json", "JSON", 0, 34, 0, 0, 0, 0, 0, 0, 1, 35
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\postcss.config.mjs", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\proxy.js", "JavaScript", 0, 0, 64, 0, 0, 0, 0, 3, 15, 82
